"output_id","image_filename","status","source_path","destination_path"
"1","c4be71e7b4f8aff6f3ac046aeeaf3f75e4ed03fac21f340a5e09c61cf79d1840.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_1\images\c4be71e7b4f8aff6f3ac046aeeaf3f75e4ed03fac21f340a5e09c61cf79d1840.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_1\images\c4be71e7b4f8aff6f3ac046aeeaf3f75e4ed03fac21f340a5e09c61cf79d1840.jpg"
"1","d56b21a00dff8f4b585a9df6f4c9e489c1f434b6e318350f892a87e6ec35e903.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_1\images\d56b21a00dff8f4b585a9df6f4c9e489c1f434b6e318350f892a87e6ec35e903.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_1\images\d56b21a00dff8f4b585a9df6f4c9e489c1f434b6e318350f892a87e6ec35e903.jpg"
"1","e42b32994eac5656a8a011d49afdd35601fbf073afe08bd60f68118b85621bc3.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_1\images\e42b32994eac5656a8a011d49afdd35601fbf073afe08bd60f68118b85621bc3.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_1\images\e42b32994eac5656a8a011d49afdd35601fbf073afe08bd60f68118b85621bc3.jpg"
"1","e83504f81d597446733179bebd92d3548f1a8caed0c27fd3c4a92d5469d1cc84.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_1\images\e83504f81d597446733179bebd92d3548f1a8caed0c27fd3c4a92d5469d1cc84.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_1\images\e83504f81d597446733179bebd92d3548f1a8caed0c27fd3c4a92d5469d1cc84.jpg"
"1","f15db3c663d7eff57afe07d7a9c1930d842366f3b6e75e6f4e40fdd2e10b30ac.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_1\images\f15db3c663d7eff57afe07d7a9c1930d842366f3b6e75e6f4e40fdd2e10b30ac.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_1\images\f15db3c663d7eff57afe07d7a9c1930d842366f3b6e75e6f4e40fdd2e10b30ac.jpg"
"10","002e4a2c792ae0648836ee738f7e511dc71a33cac1b422623adc8bce364872f4.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\002e4a2c792ae0648836ee738f7e511dc71a33cac1b422623adc8bce364872f4.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\002e4a2c792ae0648836ee738f7e511dc71a33cac1b422623adc8bce364872f4.jpg"
"10","0543f64007a2f9b676cac4727f4fd036ce48cf1608d5846cbe2634f7b6010abd.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\0543f64007a2f9b676cac4727f4fd036ce48cf1608d5846cbe2634f7b6010abd.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\0543f64007a2f9b676cac4727f4fd036ce48cf1608d5846cbe2634f7b6010abd.jpg"
"10","08b3d5d943c065f8fd53f09062530d9af2f1f05c51091e94f7c76eebae1d8898.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\08b3d5d943c065f8fd53f09062530d9af2f1f05c51091e94f7c76eebae1d8898.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\08b3d5d943c065f8fd53f09062530d9af2f1f05c51091e94f7c76eebae1d8898.jpg"
"10","0d5c99665eec25f8574afebfe045a4630e6b4ad48c74aaa2261e9a27d42082b5.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\0d5c99665eec25f8574afebfe045a4630e6b4ad48c74aaa2261e9a27d42082b5.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\0d5c99665eec25f8574afebfe045a4630e6b4ad48c74aaa2261e9a27d42082b5.jpg"
"10","0f7e41ceaa495a394fea2df008c2452c819d10327fc5d2fe4e4479f4a899596f.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\0f7e41ceaa495a394fea2df008c2452c819d10327fc5d2fe4e4479f4a899596f.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\0f7e41ceaa495a394fea2df008c2452c819d10327fc5d2fe4e4479f4a899596f.jpg"
"10","0fc8b84c9921eb3aad3315e4a6ee4f423c2517ad80e6a1c1b7b1f5aa635e49fb.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\0fc8b84c9921eb3aad3315e4a6ee4f423c2517ad80e6a1c1b7b1f5aa635e49fb.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\0fc8b84c9921eb3aad3315e4a6ee4f423c2517ad80e6a1c1b7b1f5aa635e49fb.jpg"
"10","1134c4bc02bde364b363bb52e91dec7e4f44ba7e4c36bd08d79d75cb65550598.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\1134c4bc02bde364b363bb52e91dec7e4f44ba7e4c36bd08d79d75cb65550598.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\1134c4bc02bde364b363bb52e91dec7e4f44ba7e4c36bd08d79d75cb65550598.jpg"
"10","1635e2051fdd1fe57b69d83787143a2c163f34c16a17108a2340ae83c084106c.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\1635e2051fdd1fe57b69d83787143a2c163f34c16a17108a2340ae83c084106c.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\1635e2051fdd1fe57b69d83787143a2c163f34c16a17108a2340ae83c084106c.jpg"
"10","21d095dc9b477e093e4b4a35aecfc66e34d9e9ffbda0b91b36bf8344ec34ba1b.jpg","copied","C:\Users\Administrator\Desktop\CATDA\CATDA\data\processed_papers\paper_10\images\21d095dc9b477e093e4b4a35aecfc66e34d9e9ffbda0b91b36bf8344ec34ba1b.jpg","C:\Users\Administrator\Desktop\知识图谱\MAGE-graph\output_10\images\21d095dc9b477e093e4b4a35aecfc66e34d9e9ffbda0b91b36bf8344ec34ba1b.jpg"
